Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS
CIFAR10,ViT,Head,100,TD,8,1,0.0025087792162682117,1.863,735
CIFAR10,ViT,Head,100,TD,8,1,0.002196171887870629,6.78,1000
CIFAR10,ViT,Head,100,TD,8,1,0.00032875716688514394,4.049,796
CIFAR10,ViT,Head,100,TD,8,2,0.0028353224652050103,2.741,421
CIFAR10,ViT,Head,100,TD,8,2,0.002267377323030227,6.518,928
CIFAR10,ViT,Head,100,TD,8,2,0.0031404359864302327,5.065,985
CIFAR10,ViT,Head,100,TD,8,2,0.003068250028859904,8.419,973
CIFAR10,ViT,Head,100,TD,8,2,0.003528301005190808,1.58,922
CIFAR10,ViT,Head,100,TD,8,2,0.0012223481230483335,2.591,249
CIFAR10,ViT,Head,100,TD,8,2,0.0038648330484296924,5.569,706
CIFAR10,ViT,Head,100,TD,8,2,0.0029188314940995145,6.203,725
CIFAR10,ViT,Head,100,TD,8,2,0.0010874498450825626,8.538,733
CIFAR10,ViT,Head,100,TD,8,2,0.0014752308254923512,0.784,300
CIFAR10,ViT,Head,100,TD,8,2,0.0030579199570029006,5.651,961
CIFAR10,ViT,Head,100,TD,8,2,0.0020036091676203954,1.067,660
CIFAR10,ViT,Head,100,TD,8,2,0.004734797079387345,3.853,763
CIFAR10,ViT,Head,100,TD,8,2,0.0010264592554580997,6.735,323
CIFAR10,ViT,Head,100,TD,8,2,0.002923244313305935,0.741,721
CIFAR10,ViT,Head,100,TD,8,2,0.002569758529196041,6.728,989
CIFAR10,ViT,Head,100,TD,8,2,0.00421920342603825,1.667,926
CIFAR10,ViT,Head,100,TD,8,2,0.0017878873204477809,9.508,566
CIFAR10,ViT,Head,100,TD,8,2,0.0019930881953087016,0.2,940
CIFAR10,ViT,Head,100,TD,8,2,0.0018911946414700942,8.175,748
CIFAR10,ViT,Head,100,TD,8,2,0.0035643593448728738,1.813,804
CIFAR10,ViT,Head,100,TD,8,2,0.0022657883779094853,10.0,1000
CIFAR10,ViT,Head,100,TD,8,2,0.00034459423610890395,5.24,564
CIFAR10,ViT,Head,100,TD,8,2,0.0011561207689981367,2.302,573
CIFAR10,ViT,Head,100,TD,8,2,0.003013551613615215,8.381,893
CIFAR10,ViT,Head,100,TD,8,2,0.0014939223666307136,1.092,776
CIFAR10,ViT,Head,100,TD,8,2,0.002086721191164919,0.2,199
CIFAR10,ViT,Head,100,TD,8,2,0.0013719009501003013,10.0,823
CIFAR10,ViT,Head,100,TD,8,2,0.001775391596763397,10.0,669
CIFAR10,ViT,Head,100,TD,8,2,0.004609657962783545,1.111,904
CIFAR10,ViT,Head,100,TD,8,2,0.0032052043894535143,0.2,932
CIFAR10,ViT,Head,100,TD,8,2,0.0033124958671488396,1.304,390
CIFAR10,ViT,Head,100,TD,8,2,0.0011135552262613727,2.919,819
CIFAR10,ViT,Head,100,TD,8,2,0.0019477542323978949,4.111,555
CIFAR10,ViT,Head,100,TD,8,2,0.005733812117115585,2.129,600
CIFAR10,ViT,Head,100,TD,8,2,0.0052963408771044464,4.936,870
CIFAR10,ViT,Head,100,TD,8,2,0.003181671945383677,0.2,730
CIFAR10,ViT,Head,100,TD,8,2,0.0019127097891356883,2.339,751
CIFAR10,ViT,Head,100,TD,8,2,0.0037302766461743213,2.476,447
CIFAR10,ViT,Head,100,TD,8,2,0.006011190005930914,0.769,868
CIFAR10,ViT,Head,100,TD,8,2,0.004396606720398549,0.2,1000
CIFAR10,ViT,Head,100,TD,8,2,0.0023643370740100414,6.83,1000
CIFAR10,ViT,Head,100,TD,8,2,0.0014192196249452375,0.2,753
CIFAR10,ViT,Head,100,TD,8,2,0.00583140211893016,1.515,1000
CIFAR10,ViT,Head,100,TD,8,2,0.00261083777062949,3.034,1000
