Dataset,Model,Parameterization,Shots,HPO,MIA,DP,Seed,N,TPR@FPR=0.001,TPR@FPR=0.00316,TPR@FPR=0.01,TPR@FPR=0.03162,TPR@FPR=0.1,TPR@FPR=0.31623,TPR@FPR=1.0,Classes
CIFAR10,ViT,Head,100,TD,ACC-LiRA,1,2,129,0.0011865248006948,0.0040016130533238,0.0119505537115736,0.0359679870955734,0.108501101219096,0.3328938797034463,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,1,2,129,0.000907342494649,0.003311412352266,0.010709743462481,0.0361851288891646,0.1128904674752613,0.3414709805502993,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,1,2,129,0.0012175450569221,0.003947327604926,0.0117799423023234,0.0367434935012563,0.1153178025250488,0.3464264664826131,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,1,3,129,0.0009615608303543,0.0034274990888435,0.0114766937816481,0.0363376939600021,0.1115488108439247,0.3351349674697767,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,1,3,129,0.0012097055607683,0.0037144164333847,0.0116783113751095,0.0373923090642617,0.1157129896011849,0.347216514031809,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,1,3,129,0.001434586722706,0.0039548066409733,0.0127872081391471,0.0371519188566731,0.1149142737501647,0.3440526687190304,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,1,10,129,0.0011094215491559,0.0035920431976166,0.0112493793445878,0.0345394736842105,0.1091965615690168,0.332516137040715,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,1,10,129,0.0010628723932472,0.0035687686196623,0.0122269116186693,0.0372238083416087,0.1149686569016881,0.3435017378351539,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,1,10,129,0.0010163232373386,0.0033980883813306,0.010651998510427,0.0358971573982125,0.1139523336643495,0.343486221449851,1.0,10
CIFAR10,ViT,Head,100,ED,ACC-LiRA,-1,0,129,0.0170697674418604,0.0323255813953488,0.056891472868217,0.1017209302325581,0.1933410852713178,0.4246821705426357,1.0,10
CIFAR10,ViT,Head,100,ED,KL-LiRA,-1,0,129,0.0672480620155038,0.090922480620155,0.1239457364341085,0.1786744186046511,0.2901627906976744,0.5363798449612404,1.0,10
